epoch, train_iou, train_obj_oa, train_slope_oa, train_slope_res, train_slope_mae, val_iou, val_obj_oa, val_slope_oa, val_slope_res, val_slope_mae 
0, 0.67557, 0.84422, 0.43472, 1.23086, 4.22237, 0.69959, 0.91777, 0.57762, 1.20729, 2.77013 
1, 0.72618, 0.92217, 0.61711, 1.22449, 2.55662, 0.73790, 0.92829, 0.65848, 1.20478, 2.33721 
2, 0.74581, 0.93115, 0.65818, 1.22132, 2.35150, 0.75284, 0.93951, 0.69186, 1.19731, 2.19841 
3, 0.75904, 0.93753, 0.68565, 1.21882, 2.22289, 0.76487, 0.93940, 0.70848, 1.19521, 2.14882 
4, 0.76710, 0.93959, 0.69776, 1.21486, 2.15017, 0.77911, 0.95069, 0.72360, 1.19176, 2.07553 
5, 0.77058, 0.94174, 0.71040, 1.21119, 2.09976, 0.76918, 0.94649, 0.71012, 1.19291, 2.08629 
6, 0.77411, 0.94485, 0.71834, 1.20586, 2.06109, 0.77172, 0.93626, 0.71308, 1.17960, 2.06424 
7, 0.77829, 0.94661, 0.72262, 1.20284, 2.03207, 0.77570, 0.94390, 0.72549, 1.17746, 2.01408 
8, 0.78070, 0.94632, 0.72732, 1.19911, 2.01151, 0.78819, 0.95409, 0.73027, 1.17534, 1.99678 
9, 0.78283, 0.94661, 0.73042, 1.19434, 1.98930, 0.77413, 0.94427, 0.73285, 1.16559, 1.97449 
10, 0.78569, 0.94864, 0.73426, 1.18653, 1.96029, 0.79042, 0.95147, 0.75345, 1.16502, 1.90209 
11, 0.78646, 0.94793, 0.73772, 1.18326, 1.94761, 0.79451, 0.95630, 0.74797, 1.16126, 1.93420 
12, 0.78743, 0.94829, 0.74004, 1.17626, 1.92467, 0.79384, 0.95490, 0.74469, 1.16169, 1.87862 
13, 0.79009, 0.95027, 0.74425, 1.17084, 1.89336, 0.79605, 0.95564, 0.76195, 1.13891, 1.83550 
14, 0.79012, 0.94963, 0.74396, 1.16728, 1.88964, 0.79741, 0.95586, 0.76856, 1.13475, 1.76770 
15, 0.79084, 0.94975, 0.74580, 1.16523, 1.88027, 0.79597, 0.94992, 0.72057, 1.15624, 2.01908 
16, 0.79030, 0.95051, 0.74931, 1.15976, 1.86593, 0.79588, 0.95627, 0.76075, 1.15391, 1.83718 
17, 0.79265, 0.95084, 0.74879, 1.15849, 1.86222, 0.79887, 0.95586, 0.75105, 1.13103, 1.86089 
18, 0.79462, 0.95157, 0.75095, 1.15406, 1.85007, 0.80036, 0.95996, 0.76346, 1.13329, 1.79889 
19, 0.79404, 0.95084, 0.75191, 1.15483, 1.84080, 0.79865, 0.95431, 0.73657, 1.16638, 1.91266 
20, 0.79541, 0.95130, 0.75365, 1.15146, 1.83965, 0.80318, 0.95712, 0.77215, 1.11736, 1.77511 
21, 0.79643, 0.95208, 0.75368, 1.15082, 1.83027, 0.79944, 0.95453, 0.74954, 1.14614, 1.81374 
22, 0.79577, 0.95155, 0.75374, 1.14960, 1.83010, 0.80076, 0.95457, 0.75748, 1.12003, 1.80751 
23, 0.79661, 0.95185, 0.75544, 1.14402, 1.81879, 0.80544, 0.95771, 0.77039, 1.13113, 1.79249 
24, 0.79751, 0.95284, 0.75489, 1.14451, 1.82050, 0.80405, 0.95586, 0.75956, 1.11428, 1.74763 
25, 0.79700, 0.95173, 0.75910, 1.14314, 1.80079, 0.80169, 0.95693, 0.76718, 1.13047, 1.77189 
26, 0.79905, 0.95312, 0.75823, 1.14158, 1.79694, 0.80577, 0.95992, 0.76031, 1.11789, 1.83516 
27, 0.79783, 0.95229, 0.75865, 1.14050, 1.81338, 0.79990, 0.95328, 0.76321, 1.13209, 1.79411 
28, 0.79955, 0.95334, 0.75756, 1.13968, 1.80646, 0.80503, 0.95815, 0.76585, 1.11555, 1.80204 
29, 0.79902, 0.95251, 0.75919, 1.14091, 1.80784, 0.80058, 0.95741, 0.76793, 1.12259, 1.79618 
30, 0.79988, 0.95340, 0.76097, 1.13533, 1.78725, 0.80359, 0.95483, 0.76737, 1.12110, 1.80336 
31, 0.79974, 0.95310, 0.76019, 1.13277, 1.79995, 0.81015, 0.95874, 0.77486, 1.09099, 1.70149 
32, 0.80030, 0.95347, 0.75895, 1.13662, 1.80763, 0.80256, 0.95564, 0.74293, 1.15850, 1.86981 
33, 0.80111, 0.95414, 0.76312, 1.13409, 1.79030, 0.80467, 0.95627, 0.77045, 1.10865, 1.71833 
34, 0.80113, 0.95443, 0.76263, 1.13251, 1.79706, 0.80404, 0.95671, 0.76623, 1.11474, 1.73933 
35, 0.80252, 0.95488, 0.76336, 1.13201, 1.78549, 0.80579, 0.95708, 0.77335, 1.10407, 1.73683 
36, 0.80178, 0.95365, 0.76306, 1.13292, 1.79150, 0.80418, 0.95741, 0.76982, 1.10109, 1.75129 
37, 0.80226, 0.95412, 0.76352, 1.12874, 1.78761, 0.80400, 0.95785, 0.77385, 1.09040, 1.76527 
38, 0.80377, 0.95500, 0.76492, 1.12886, 1.77871, 0.81062, 0.95933, 0.77971, 1.09938, 1.71773 
39, 0.80193, 0.95416, 0.76199, 1.12644, 1.77827, 0.80538, 0.95833, 0.77536, 1.09634, 1.72162 
